Data_value,STATUS,UNITS,Magnitude,Subject,Group
1116.386,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1070.874,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1054.408,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1010.665,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1233.7,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1282.436,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1290.82,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1412.007,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1488.055,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1497.678,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1570.507,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1393.749,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1517.143,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1381.514,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1370.985,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1073.017,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1131.445,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1440.101,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1489.979,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1390.782,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1826.73,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1710.073,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1559.479,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1285.083,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1684.422,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1665.926,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1501.095,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1209.443,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1424.748,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1414.896,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1061.724,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1055.712,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
1053.118,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2)
